time,api_name,credit,credit_before_api_call,ip,request_line,rescode
2014-10-29  15:13:51,calcol,762.15,763.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:52,calcol,760.65,762.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:52,calcol,759.15,760.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:52,calcol,757.65,759.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:52,calcol,756.15,757.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:52,calcol,754.65,756.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:53,calcol,753.15,754.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:53,calcol,751.65,753.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:53,calcol,750.15,751.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:53,calcol,748.65,750.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:53,calcol,747.15,748.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:54,calcol,745.65,747.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:54,calcol,744.15,745.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:54,calcol,742.65,744.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:54,calcol,741.15,742.65,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
2014-10-29  15:13:54,calcol,739.65,741.15,127.0.0.1,"""GET /api/calcol?consumer_key=29e1290f5b2f11e49e8cf0bf97cec1ff&undefined=&user_id=54462ab8ae335b89381f01a0 HTTP/1.1""",00
